Feature,Age value, ASV,Shapley
LowerBodyO2,0-3_days,0.0,-0.009142124781849902
LowerBodyO2,11-30_days,0.0,0.0027103713144116847
LowerBodyO2,4-10_days,0.0,0.00643175346743823
CardiacMixing,0-3_days,0.0026376000000000294,0.04006074336883732
CardiacMixing,11-30_days,-0.0026376,-0.06256716869814352
CardiacMixing,4-10_days,0.0,0.022506425329306242
LVHreport,0-3_days,0.0,0.0
LVHreport,11-30_days,0.0,0.0
LVHreport,4-10_days,0.0,0.0
XrayReport,0-3_days,0.00010000000000000289,0.017377717391304347
XrayReport,11-30_days,-0.00010000000000000003,-0.017377717391304344
XrayReport,4-10_days,0.0,0.0
Sick,0-3_days,0.0,0.0
Sick,11-30_days,0.0,0.0
Sick,4-10_days,0.0,0.0
LungParench,0-3_days,0.0011160000000000334,0.0
LungParench,11-30_days,-0.0011159999999999994,0.0
LungParench,4-10_days,0.0,0.0
Disease,0-3_days,0.0077598441491232295,0.06815164723257303
Disease,11-30_days,0.0025133305824367996,-0.008371068553332818
Disease,4-10_days,-0.010273174731560107,-0.059780578679240214
ChestXray,0-3_days,0.00015599999999998948,0.0
ChestXray,11-30_days,-0.00015600000000000002,0.0
ChestXray,4-10_days,0.0,0.0
CO2Report,0-3_days,0.0,0.0004849550924836271
CO2Report,11-30_days,0.0,-0.009713600631761802
CO2Report,4-10_days,0.0,0.009228645539278156
LVH,0-3_days,0.0,0.0
LVH,11-30_days,0.0,0.0
LVH,4-10_days,0.0,0.0
HypDistrib,0-3_days,0.0,0.004311900362275852
HypDistrib,11-30_days,0.0,-0.00025208032887150946
HypDistrib,4-10_days,0.0,-0.004059820033404327
GruntingReport,0-3_days,0.0,0.0
GruntingReport,11-30_days,0.0,0.0
GruntingReport,4-10_days,0.0,0.0
CO2,0-3_days,0.0,0.0
CO2,11-30_days,0.0,0.0
CO2,4-10_days,0.0,0.0
Grunting,0-3_days,0.0,-0.001280820938215104
Grunting,11-30_days,0.0,-0.0006285993516399697
Grunting,4-10_days,0.0,0.0019094202898550718
LungFlow,0-3_days,0.0,0.0
LungFlow,11-30_days,0.0,0.0
LungFlow,4-10_days,0.0,0.0
BirthAsphyxia,0-3_days,0.005274230429532123,9.869938392827876e-06
BirthAsphyxia,11-30_days,-0.00543364176935479,-0.0006657505541901754
BirthAsphyxia,4-10_days,0.00015941133982267514,0.0006558806157973453
HypoxiaInO2,0-3_days,0.0,0.0
HypoxiaInO2,11-30_days,0.0,0.0
HypoxiaInO2,4-10_days,0.0,0.0
RUQO2,0-3_days,0.0,0.0019144058939348282
RUQO2,11-30_days,0.0,0.002856526252653457
RUQO2,4-10_days,0.0,-0.004770932146588286
DuctFlow,0-3_days,0.0,-0.015075554096135216
DuctFlow,11-30_days,0.0,0.004021061122255611
DuctFlow,4-10_days,0.0,0.011054492973879632
Sum,[ 0.01704367 -0.00692991 -0.01011376],[ 0.10681274 -0.08998803 -0.01682471]
