,allTopoSortsNumber,recursiveLongestTime,recursiveShortestTime,recursiveAverageTime,biggestEquivClasses,smallestEquivClasses,averageEquivClasses
"4 Paths, 4 Length",63063000,0.013845443725585938,0.01214599609375,0.013094425201416016,125,125,125.0
"4 Paths, 5 Length",11732745024,0.027015209197998047,0.016430377960205078,0.021979331970214844,216,216,216.0
"4 Paths, 6 Length",2308743493056,0.05862116813659668,0.025670289993286133,0.0446543296178182,343,343,343.0
"4 Paths, 7 Length",472518347558400,0.10579824447631836,0.04417085647583008,0.07454027448381696,512,512,512.0
"4 Paths, 8 Length",99561092450391000,0.18305563926696777,0.06202960014343262,0.1251622438430786,729,729,729.0
"5 Paths, 4 Length",305540235000,0.05210256576538086,0.04358100891113281,0.0463482141494751,625,625,625.0
"5 Paths, 5 Length",623360743125120,0.1302328109741211,0.09545183181762695,0.11343021392822265,1296,1296,1296.0
"5 Paths, 6 Length",1370874167589326400,0.2923905849456787,0.20206761360168457,0.2420953909556071,2401,2401,2401.0
"5 Paths, 7 Length",3177459078523411968000,0.5615062713623047,0.38776159286499023,0.4740451063428606,4096,4096,4096.0
"5 Paths, 8 Length",7656714453153197981835000,1.0999948978424072,0.7159857749938965,0.8951389789581299,6561,6561,6561.0
"6 Paths, 4 Length",3246670537110000,0.3034839630126953,0.20525121688842773,0.25780314207077026,3125,3125,3125.0
"6 Paths, 5 Length",88832646059788350720,0.8527169227600098,0.6307477951049805,0.7536170482635498,7776,7776,7776.0
"6 Paths, 6 Length",2670177736637149247308800,2.0189218521118164,1.592285394668579,1.8480798403422039,16807,16807,16807.0
"6 Paths, 7 Length",85722533226982363751829504000,4.423186540603638,3.405541181564331,4.060520376477923,32768,32768,32768.0
"6 Paths, 8 Length",2889253496242619386328267523990000,8.66829538345337,6.686194181442261,8.088251024484634,59049,59049,59049.0
"7 Paths, 4 Length",66475579247327250000,1.5042264461517334,1.2003321647644043,1.4130637049674988,15625,15625,15625.0
"7 Paths, 5 Length",28837919555681211870935040,5.33179783821106,4.047673463821411,4.960594034194946,46656,46656,46656.0
"7 Paths, 6 Length",14007180988362844601443040716800,15.27993392944336,11.591180086135864,14.332297285397848,117649,117649,117649.0
"7 Paths, 7 Length",7363615666157189603982585462030336000,38.269028425216675,28.30986523628235,36.1445700441088,262144,262144,262144.0
"7 Paths, 8 Length",4104167472585675600759440022842715359250000,85.21019673347473,62.967663288116455,81.24619778990746,531441,531441,531441.0
"8 Paths, 4 Length",2390461829733887910000000,8.529242753982544,6.439805507659912,7.876916885375977,78125,78125,78125.0
"8 Paths, 5 Length",18975581770994682860770223800320,35.09982752799988,26.488943576812744,33.19868183135986,279936,279936,279936.0
"8 Paths, 6 Length",171889289584866507880743491472699801600,117.95036315917969,88.7131814956665,112.50264469782512,823543,823543,823543.0
"8 Paths, 7 Length",1707750599894443404262670865631874246246400000,337.47902488708496,252.90497040748596,324.5111536298479,2097152,2097152,2097152.0
