Feature,Age value,ASV,Shapley,Seed
Disease,0-3_days,-0.006148661451902293,0.08833285793662071,12
Disease,11-30_days,0.037348936737142915,-0.04160849791020155,12
Disease,4-10_days,-0.02628606278796532,-0.04672436278313399,12
CardiacMixing,0-3_days,-0.00017735964828706014,0.003128891079686582,12
CardiacMixing,11-30_days,0.00044392067775250396,-0.002695145879406482,12
CardiacMixing,4-10_days,0.00042758086819342524,-0.0004337469418533146,12
CO2Report,0-3_days,-0.0008687967272243515,0.0034166570147499443,12
CO2Report,11-30_days,0.0005852945689748677,-0.003861809429945424,12
CO2Report,4-10_days,0.00023226936640795566,0.00044515203568153085,12
LungParench,0-3_days,-0.025370570122578977,-0.003408004706725478,12
LungParench,11-30_days,-0.0058931138520069174,0.002534637452336028,12
LungParench,4-10_days,0.02949451677658215,0.0008733661891892553,12
DuctFlow,0-3_days,-0.02279539288509538,0.00019314475590363146,12
DuctFlow,11-30_days,0.009309840256059196,-0.019268161665531806,12
DuctFlow,4-10_days,0.020707104929873363,0.01907502595568076,12
Grunting,0-3_days,0.004638153835771851,-0.0026548086950788276,12
Grunting,11-30_days,0.0,0.001983475309680216,12
Grunting,4-10_days,-0.004638153835771842,0.0006713323161238804,12
LungFlow,0-3_days,0.008372503852126062,0.044052390656434,12
LungFlow,11-30_days,-0.0007955982626233277,-0.0007152118318481371,12
LungFlow,4-10_days,-0.009656771379877525,-0.04333717541652732,12
LVHreport,0-3_days,-0.02778658062772721,0.04481915295822546,12
LVHreport,11-30_days,-3.2277517806267966e-07,0.0024529964882822244,12
LVHreport,4-10_days,0.027803163672921582,-0.04727214991580695,12
ChestXray,0-3_days,0.0013084793779081188,0.01765318093588576,12
ChestXray,11-30_days,0.004102021632102213,-0.014682144924881868,12
ChestXray,4-10_days,-0.00548286172155863,-0.0029710348730441183,12
BirthAsphyxia,0-3_days,-0.0019783754141553533,-2.5531966239213945e-05,12
BirthAsphyxia,11-30_days,0.001596482791785335,-0.0011282199010020121,12
BirthAsphyxia,4-10_days,0.0022573268681885736,0.0011537521332502364,12
RUQO2,0-3_days,-0.0006686459146645244,0.042181906909681856,12
RUQO2,11-30_days,0.0005939690752225556,-0.005764287353958935,12
RUQO2,4-10_days,-0.00011763905931897028,-0.03641760638158303,12
Sick,0-3_days,0.0006208835628527602,0.004869027871172875,12
Sick,11-30_days,8.199848363335747e-21,0.001082424260675907,12
Sick,4-10_days,-0.00015498380340029375,-0.005951452553272247,12
XrayReport,0-3_days,0.001977374656159749,0.004351161895319819,12
XrayReport,11-30_days,0.0,-0.003653311360976659,12
XrayReport,4-10_days,-0.001887260664876877,-0.0006978519447147846,12
LowerBodyO2,0-3_days,-0.0007593172377599677,-0.00041634036460891366,12
LowerBodyO2,11-30_days,0.0006790430194805199,0.0005526664172066376,12
LowerBodyO2,4-10_days,9.655110347758298e-05,-0.00013632609625346959,12
HypoxiaInO2,0-3_days,-0.0030147763571430584,0.0006851808354258537,12
HypoxiaInO2,11-30_days,-0.0001267931488566993,0.006859424537979066,12
HypoxiaInO2,4-10_days,0.004815171300448439,-0.0075446047994773835,12
HypDistrib,0-3_days,-9.832770340719651e-05,-0.0011428570747375488,12
HypDistrib,11-30_days,-8.599180880230938e-05,0.0,12
HypDistrib,4-10_days,0.0001887604982035045,0.0011428572423756124,12
CO2,0-3_days,-0.002658360133428783,0.006522746812552213,12
CO2,11-30_days,0.001775984833617124,-0.004311155311297625,12
CO2,4-10_days,0.0006995902409439154,-0.002211591491941363,12
GruntingReport,0-3_days,5.894858099708761e-05,-0.003955929884687066,12
GruntingReport,11-30_days,0.0,0.0019773116731084885,12
GruntingReport,4-10_days,-5.894858099708741e-05,0.0019786171289160846,12
LVH,0-3_days,-0.0010338956855719611,-0.01292863772250712,12
LVH,11-30_days,0.00017202945614167324,-0.0006194578018039465,12
LVH,4-10_days,0.000910463937383195,0.013548093716381118,12
Disease,0-3_days,-0.03454369035862803,-0.0399569109082222,32
Disease,11-30_days,0.049782375665180165,0.002995104640722275,32
Disease,4-10_days,-0.013468837104597264,0.036961791664361955,32
CardiacMixing,0-3_days,-0.0012236679085538531,0.013796591181308031,32
CardiacMixing,11-30_days,-0.005028570174112688,-0.01043521309737116,32
CardiacMixing,4-10_days,0.0033869825139260833,-0.003361378903500736,32
CO2Report,0-3_days,5.450853941583318e-06,0.005359815562842414,32
CO2Report,11-30_days,0.00011087531293151319,-0.011161637672339566,32
CO2Report,4-10_days,-0.00011659877876120816,0.005801822397625073,32
LungParench,0-3_days,-0.0025799553683417513,0.001829726428259164,32
LungParench,11-30_days,0.000960171829579011,-0.0001539573899935931,32
LungParench,4-10_days,0.002852238675721794,-0.0016757691791281105,32
DuctFlow,0-3_days,-0.0019389753152943496,0.011214153966866433,32
DuctFlow,11-30_days,-8.783186058126716e-05,-0.006354834453668445,32
DuctFlow,4-10_days,0.0022399958444770103,-0.004859318665694445,32
Grunting,0-3_days,-0.007254297746607506,-0.0016629248345270754,32
Grunting,11-30_days,0.003400781279704443,0.00725048436288489,32
Grunting,4-10_days,0.0076323200685184745,-0.005587562507716939,32
LungFlow,0-3_days,-0.007874683970103727,0.012119874854106457,32
LungFlow,11-30_days,0.0005680392507156858,-0.007762003366369754,32
LungFlow,4-10_days,0.006228961113989177,-0.004357873327098787,32
LVHreport,0-3_days,-2.0128363564817654e-19,-0.00973276074975729,32
LVHreport,11-30_days,0.0,-0.00027204093057662246,32
LVHreport,4-10_days,0.0,0.01000480274669826,32
ChestXray,0-3_days,-0.0035180629093631436,-0.003550141208106652,32
ChestXray,11-30_days,9.441426082189855e-05,0.0021288336500583684,32
ChestXray,4-10_days,0.0007452229520384053,0.001421305350086186,32
BirthAsphyxia,0-3_days,-0.002309138464135163,0.001895104597788304,32
BirthAsphyxia,11-30_days,0.0008249072530207291,-0.00013948981650173663,32
BirthAsphyxia,4-10_days,0.0024794096256844575,-0.0017556145903654397,32
RUQO2,0-3_days,-0.00039921247033472383,0.002328138118609786,32
RUQO2,11-30_days,-9.387999125874103e-06,0.0019595052872318774,32
RUQO2,4-10_days,0.00040321734446058135,-0.004287644405267201,32
Sick,0-3_days,-0.0028318067936555164,0.016328881541267038,32
Sick,11-30_days,0.0009482528539483597,-0.00945312819967512,32
Sick,4-10_days,0.0034144513904484346,-0.006875753400381654,32
XrayReport,0-3_days,-0.0009222002258084076,-0.0053324185032397504,32
XrayReport,11-30_days,0.0011336880362654328,-0.008408061026129872,32
XrayReport,4-10_days,-0.0004050725360255962,0.013740472469653469,32
LowerBodyO2,0-3_days,-0.0007745359512644227,0.001025240682065487,32
LowerBodyO2,11-30_days,0.0008740445381968161,-0.0024538192455656827,32
LowerBodyO2,4-10_days,-0.0005914760651217788,0.001428577951155603,32
HypoxiaInO2,0-3_days,-0.0002754827858371016,-0.002800440858118236,32
HypoxiaInO2,11-30_days,0.0004472649447248208,0.0019889217645686586,32
HypoxiaInO2,4-10_days,0.008246747622488821,0.0008115194650599733,32
HypDistrib,0-3_days,-0.0008458038913225888,0.0032063640840351583,32
