,allTopoSortsNumber,recursiveLongestTime,recursiveShortestTime,recursiveAverageTime,biggestEquivClasses,smallestEquivClasses,averageEquivClasses,Nodes number,Toposorts estimated time
"4 Paths, 4 Length",63063000,0.1515285968780517,0.0221250057220459,0.0772455930709838,125,125,125.0,16,1235.8393045644407
"4 Paths, 5 Length",11732745024,0.0740563869476318,0.0163142681121826,0.0444186210632324,216,216,216.0,20,236893.50825085747
"5 Paths, 4 Length",305540235000,0.0566520690917968,0.039513349533081,0.0457621812820434,625,625,625.0,20,6665849.0901957555
"4 Paths, 6 Length",2308743493056,0.0704526901245117,0.0387854576110839,0.0507018168767293,343,343,343.0,24,64780343.37039342
"6 Paths, 4 Length",3246670537110000,0.3209874629974365,0.1792020797729492,0.2557030916213989,3125,3125,3125.0,24,58359552251.65462
"5 Paths, 5 Length",623360743125120,0.1882154941558838,0.0983595848083496,0.122480297088623,1296,1296,1296.0,25,12337119471.555187
"4 Paths, 7 Length",472518347558400,0.0997464656829834,0.041459321975708,0.0696043627602713,512,512,512.0,28,10601657903.0188
"7 Paths, 4 Length",66475579247327250000,1.6920523643493652,1.0794596672058103,1.4246421456336975,15625,15625,15625.0,28,1338645329705839.0
"6 Paths, 5 Length",88832646059788350720,0.924464464187622,0.5689098834991455,0.749675703048706,7776,7776,7776.0,30,1779939729281948.0
"5 Paths, 6 Length",1370874167589326400,0.3745284080505371,0.2198462486267089,0.2948609193166097,2401,2401,2401.0,30,31064010007306.5
"8 Paths, 4 Length",2390461829733887910000000,8.185271501541138,5.885380983352661,7.5692298412323,78125,78125,78125.0,32,4.416975844536093e+19
"4 Paths, 8 Length",99561092450391000,0.3055968284606933,0.0578205585479736,0.1356493234634399,729,729,729.0,32,2450228353074.063
"7 Paths, 5 Length",28837919555681211870935040,5.253049612045288,3.685880184173584,4.747781658172608,46656,46656,46656.0,35,6.454358965074533e+20
"5 Paths, 7 Length",3177459078523411968000,0.6692016124725342,0.4064137935638428,0.5460413524082729,4096,4096,4096.0,35,7.21915525184101e+16
"6 Paths, 6 Length",2670177736637149247308800,1.9873013496398928,1.4600248336791992,1.8310513496398928,16807,16807,16807.0,36,5.88627357805706e+19
"5 Paths, 8 Length",7656714453153197981835000,1.2678043842315674,0.7834858894348145,0.964612364768982,6561,6561,6561.0,40,1.7305477070546882e+20
"8 Paths, 5 Length",18975581770994682860770223800320,34.10859060287476,23.99006748199463,31.15363802909851,279936,279936,279936.0,40,3.861246255669889e+26
"6 Paths, 7 Length",85722533226982363751829504000,4.480560541152954,3.0524158477783203,3.9719351700374057,32768,32768,32768.0,42,1.8955566602136752e+24
"7 Paths, 6 Length",14007180988362844601443040716800,14.418981790542604,10.090646028518677,13.260696729024252,117649,117649,117649.0,42,3.086566513366083e+26
"8 Paths, 6 Length",171889289584866507880743491472699801600,108.97297358512878,76.66632032394409,100.80911525090536,823543,823543,823543.0,48,4.078709385458448e+33
"6 Paths, 8 Length",2889253496242619386328267523990000,8.391133785247803,5.958460092544556,7.817282974720001,59049,59049,59049.0,48,6.693591360074786e+28
"7 Paths, 7 Length",7363615666157189603982585462030336000,35.26837873458862,25.23099946975708,33.33810537202017,262144,262144,262144.0,49,1.6891987061259767e+32
"7 Paths, 8 Length",4104167472585675600759440022842715359250000,79.2995388507843,56.73709487915039,75.22599384188652,531441,531441,531441.0,56,9.32319099846568e+37
"8 Paths, 7 Length",1707750599894443404262670865631874246246400000,329.3430471420288,213.19323825836184,290.3336978980473,2097152,2097152,2097152.0,56,3.8971041165377135e+40
