,allTopoSortsNumber,recursiveLongestTime,recursiveShortestTime,recursiveAverageTime,biggestEquivClasses,smallestEquivClasses,averageEquivClasses,Nodes number,Toposorts estimated time
"10 Children, 10 PathLength",3047466240,0.0608086585998535,0.0187122821807861,0.038019984960556,256,256,256.0,20,46926.40889578429
"10 Children, 11 PathLength",5079110400,0.0768992900848388,0.0176084041595459,0.0264386534690856,256,256,256.0,21,76748.41069774088
"11 Children, 10 PathLength",60949324800,0.0892941951751709,0.031329870223999,0.0424609780311584,512,512,512.0,21,981150.1018741836
"10 Children, 12 PathLength",8204716800,0.0249645709991455,0.0171763896942138,0.0207106471061706,256,256,256.0,22,124291.61383854998
"12 Children, 10 PathLength",1279935820800,0.1267483234405517,0.0673954486846923,0.0834915041923523,1024,1024,1024.0,22,21275221.21151151
"11 Children, 11 PathLength",106661318400,0.0848968029022216,0.035358190536499,0.0459381639957428,512,512,512.0,22,1592293.4918067665
"10 Children, 13 PathLength",12893126400,0.0248005390167236,0.0177175998687744,0.0207987427711486,256,256,256.0,23,196782.63106189537
"12 Children, 11 PathLength",2346549004800,0.1270992755889892,0.0635242462158203,0.0774177610874176,1024,1024,1024.0,23,36322701.36220641
"13 Children, 10 PathLength",28158588057600,0.2040944099426269,0.1152594089508056,0.1617981493473053,2048,2048,2048.0,23,460953298.8272295
"11 Children, 12 PathLength",180503769600,0.0429537296295166,0.0300734043121337,0.0370257794857025,512,512,512.0,23,2675264.4205328277
"14 Children, 10 PathLength",647647525324800,0.3419747352600097,0.2610146999359131,0.3140793144702911,4096,4096,4096.0,24,9447947509.087053
"12 Children, 12 PathLength",4151586700800,0.1324880123138427,0.0564236640930175,0.077700525522232,1024,1024,1024.0,24,62972927.71710629
"11 Children, 13 PathLength",296541907200,0.103440523147583,0.0321202278137207,0.0484897494316101,512,512,512.0,24,4180766.425267568
"10 Children, 14 PathLength",19769460480,0.0280835628509521,0.0179042816162109,0.021691083908081,256,256,256.0,24,295169.90668453975
"13 Children, 11 PathLength",53970627110400,0.2055692672729492,0.1148393154144287,0.1622757017612457,2048,2048,2048.0,24,834137684.2401513
"10 Children, 15 PathLength",29654190720,0.0815916061401367,0.0201778411865234,0.0337806344032287,256,256,256.0,25,439332.76625172864
"15 Children, 10 PathLength",15543540607795200,0.7005395889282227,0.4761812686920166,0.6318753063678741,8192,8192,8192.0,25,259185446493.71732
"11 Children, 14 PathLength",474467051520,0.0924975872039794,0.0349783897399902,0.0501836538314819,512,512,512.0,25,7352341.430346629
